name;probability
org.jfree.chart.renderer.xy.AbstractXYItemRendererTest.testEquals_ObjectList();0.1211
org.jfree.data.xy.XYSeriesCollectionTest.testSerialization();0.1929
org.jfree.data.xy.XYIntervalDataItemTest.testEquals();0.5143
org.jfree.data.time.MillisecondTest.testGetLastMillisecondWithCalendar();0.1636
org.jfree.chart.plot.compass.LongNeedleTest.testSerialization();0.1929
org.jfree.chart.renderer.category.StatisticalBarRendererTest.testDrawWithNullMeanVertical();0.3039
org.jfree.chart.renderer.category.AbstractCategoryItemRendererTest.testCloning1();0.0301
org.jfree.chart.labels.HighLowItemLabelGeneratorTest.testSerialization();0.1929
org.jfree.chart.renderer.xy.XYBlockRendererTest.testPublicCloneable();0.1173
org.jfree.chart.internal.CloneUtilsTest.testCloneListOfStrings();0.2805
org.jfree.data.general.DatasetUtilsTest.testIterateToFindRangeBounds_BoxAndWhiskerXYDataset();0.4208
org.jfree.chart.renderer.category.MinMaxCategoryRendererTest.testDrawWithNullInfo();0.3039
org.jfree.chart.renderer.xy.XYStepAreaRendererTest.testPublicCloneable();0.1173
org.jfree.chart.axis.NumberAxisTest.testAutoRange4();0.7714
org.jfree.chart.axis.PeriodAxisLabelInfoTest.testSerialization();0.1929
org.jfree.chart.renderer.xy.VectorRendererTest.testEquals();0.5143
org.jfree.chart.axis.DateAxisTest.testPreviousStandardDateHourA();0.3740
org.jfree.data.xy.XYSeriesTest.testSetMaximumItemCount();0.1870
org.jfree.data.xy.XYBarDatasetTest.testSerialization();0.1929
org.jfree.chart.plot.dial.ArcDialFrameTest.testSerialization();0.1929
org.jfree.data.xy.XYCoordinateTest.testEquals();0.5143
org.jfree.chart.labels.StandardCategorySeriesLabelGeneratorTest.testPublicCloneable();0.1173
org.jfree.data.time.DayTest.testGetEnd();0.0374
org.jfree.data.xy.XYSeriesTest.testGetMaxX();0.1870
org.jfree.data.general.DefaultPieDatasetTest.testBug212();0.0234
org.jfree.data.time.HourTest.testEquals();0.5143
org.jfree.chart.annotations.XYShapeAnnotationTest.testSerialization();0.1929
org.jfree.chart.block.FlowArrangementTest.testCloning();0.0234
org.jfree.data.xy.XIntervalDataItemTest.testConstructor1();0.1713
org.jfree.data.time.TimePeriodValuesCollectionTest.testSerialization();0.1929
org.jfree.chart.renderer.xy.DeviationRendererTest.testCloning();0.0234
org.jfree.data.xy.VectorDataItemTest.testHashcode();0.0430
org.jfree.data.time.ohlc.OHLCTest.testCloning();0.0234
org.jfree.chart.renderer.category.MinMaxCategoryRendererTest.testSerialization();0.1929
org.jfree.data.time.ohlc.OHLCSeriesCollectionTest.testCloning();0.0234
org.jfree.chart.StackedBarChartTest.testDrawWithNullInfo();0.3039
org.jfree.chart.renderer.xy.AbstractXYItemRendererTest.testCloning_LegendItemLabelGenerator();0.2338
org.jfree.chart.renderer.RendererUtilsTest.testFindLiveItemsUpperBound_Ascending();0.6779
org.jfree.data.time.MonthTest.testJan1900Next();0.1791
org.jfree.chart.renderer.xy.AbstractXYItemRendererTest.testFindRangeBounds();0.3273
org.jfree.chart.renderer.xy.StackedXYAreaRendererTest.testBug1593156();0.5377
org.jfree.data.xy.XIntervalSeriesTest.testRemove();0.2831
org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest.testDrawWithNullQ3();0.3974
org.jfree.chart.plot.XYPlotTest.testRemoveRangeMarker();0.1316
org.jfree.chart.axis.LogAxisTest.testCloning();0.0234
org.jfree.chart.block.GridArrangementTest.testFN();0.2662
org.jfree.data.time.MonthTest.testGetFirstMillisecondWithTimeZone();0.3506
org.jfree.chart.imagemap.ImageMapUtilsTest.testGetImageMapIllegalArgumentException_2();0.1492
org.jfree.data.time.DayTest.testDateConstructorWithThreadLocalCalendar();0.1150
org.jfree.data.xy.XYIntervalSeriesCollectionTest.testSerialization();0.1929
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDatasetTest.testConstructor();0.2338
org.jfree.chart.renderer.xy.DeviationRendererTest.testEquals();0.5143
org.jfree.chart.renderer.xy.CandlestickRendererTest.testEquals();0.5143
org.jfree.data.gantt.TaskSeriesCollectionTest.testGetSubIntervalCount();0.1489
org.jfree.chart.labels.StandardXYToolTipGeneratorTest.testSerialization();0.1929
