name;probability
org.apache.commons.math3.linear.MatrixUtilsTest.testInverseNonSquare();0.2126
org.apache.commons.math3.linear.MatrixDimensionMismatchExceptionTest.testAccessors();0.6390
org.apache.commons.math3.linear.CholeskySolverTest.testDeterminant();0.2387
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest.testWampler2();0.2491
org.apache.commons.math3.ml.neuralnet.MapUtilsTest.testSort();0.3932
org.apache.commons.math3.linear.RealVectorAbstractTest.testWalkInOptimizedOrderPreservingVisitor3();0.5293
org.apache.commons.math3.fitting.leastsquares.AbstractLeastSquaresOptimizerAbstractTest.testMoreEstimatedParametersSimple();0.0934
org.apache.commons.math3.distribution.EnumeratedRealDistributionTest.testProbability();0.2132
org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormatAbstractTest.testNan();0.0721
org.apache.commons.math3.fraction.FractionFormatTest.testFormatImproper();0.1935
org.apache.commons.math3.linear.RealVectorAbstractTest.testSerial();0.3147
org.apache.commons.math3.distribution.MultivariateNormalDistributionTest.testUnivariateDistribution();0.0961
org.apache.commons.math3.fraction.BigFractionFormatTest.testParseProper();0.0933
org.apache.commons.math3.geometry.spherical.twod.SphericalPolygonsSetTest.testConcentricSubParts();0.8718
org.apache.commons.math3.geometry.euclidean.threed.PlaneTest.testThreePoints();0.1104
org.apache.commons.math3.random.StableRandomGeneratorTest.testNextDouble();0.2855
org.apache.commons.math3.geometry.euclidean.oned.Vector1DTest.testNaN();0.4246
org.apache.commons.math3.optim.linear.SimplexSolverTest.testSolutionWithNegativeDecisionVariable();0.0858
org.apache.commons.math3.ml.neuralnet.sofm.LearningFactorFunctionFactoryTest.testQuasiSigmoidDecayPrecondition3();0.5883
org.apache.commons.math3.util.MathArraysTest.testCopyOfDouble();0.2461
org.apache.commons.math3.fitting.PolynomialFitterTest.testMath798WithToleranceTooLow();0.1595
org.apache.commons.math3.linear.CholeskyDecompositionTest.testNonSquare();0.5017
org.apache.commons.math3.geometry.partitioning.utilities.AVLTreeTest.testSearch();0.1651
org.apache.commons.math3.util.MathUtilsTest.testCopySignByte();0.6205
org.apache.commons.math3.analysis.solvers.BaseSecantSolverAbstractTest.testRootEndpoints();0.2158
org.apache.commons.math3.fitting.leastsquares.EvaluationTest.testLazyEvaluationPrecondition();0.2012
org.apache.commons.math3.analysis.function.StepFunctionTest.testPreconditions4();0.6116
org.apache.commons.math3.analysis.solvers.UnivariateSolverUtilsTest.testBracketEndpointRoot();0.5051
org.apache.commons.math3.geometry.euclidean.oned.Vector1DFormatAbstractTest.testParseSimpleWithDecimalsTrunc();0.3597
org.apache.commons.math3.stat.descriptive.moment.VectorialCovarianceTest.testMismatch();0.7192
org.apache.commons.math3.complex.ComplexTest.testSqrtImaginaryZero();0.3521
org.apache.commons.math3.complex.QuaternionTest.testAccessors1();0.8090
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest.testPrimitiveAdd();0.1006
org.apache.commons.math3.linear.BlockRealMatrixTest.testOperateLarge();0.2113
